dataset,engine,experiment,file,mean_precisions,mean_time,p95_time,p99_time,parallel,rps,total_time,type,upload_time,mean_time_ms,p95_time_ms
glove-100-angular,qdrant,qdrant-on-disk-default,glove-100-angular\qdrant\qdrant-on-disk-default-glove-100-angular-search-0-skipUpload.json,0.8557279999999999,0.0055163844899801,0.0073950200005128,0.0094375600000421,8,874.2644954867324,11.438186100000166,search,,5.5163844899801,7.3950200005128
glove-100-angular,qdrant,qdrant-on-disk-default,glove-100-angular\qdrant\qdrant-on-disk-default-glove-100-angular-search-0.json,0.8557279999999999,0.0057080892399986,0.0072792400010257,0.0104447299997264,8,867.1134428215111,11.532516400000532,search,,5.708089239998601,7.2792400010257
glove-100-angular,qdrant,qdrant-on-disk-default,glove-100-angular\qdrant\qdrant-on-disk-default-glove-100-angular-upload.json,,,,,4,,305.24523559999943,upload,230.19622150000032,,
random-match-int-100-angular-filters,milvus,milvus-on-disk-default,random-match-int-100-angular-filters\milvus\milvus-on-disk-default-random-match-int-100-angular-filters-search-0-skipUpload.json,0.284904,0.0083330111600036,0.010725459999594,0.0136882000026889,8,718.5047072081888,13.917793299999175,search,,8.3330111600036,10.725459999594
random-match-int-100-angular-filters,milvus,milvus-on-disk-default,random-match-int-100-angular-filters\milvus\milvus-on-disk-default-random-match-int-100-angular-filters-search-0.json,0.284904,0.0085381621599899,0.0108373350003603,0.0142781810016094,8,703.593450870515,14.212753100000556,search,,8.5381621599899,10.8373350003603
random-match-int-100-angular-filters,milvus,milvus-on-disk-default,random-match-int-100-angular-filters\milvus\milvus-on-disk-default-random-match-int-100-angular-filters-upload.json,,,,,4,,959.2776311000016,upload,199.480646,,
random-match-int-100-angular-filters,qdrant,qdrant-on-disk-default,random-match-int-100-angular-filters\qdrant\qdrant-on-disk-default-random-match-int-100-angular-filters-search-0-skipUpload.json,0.999996,0.0047341258000014,0.0062477050027155,0.008101977000224,8,979.6395919656954,10.207835699999125,search,,4.7341258000014,6.2477050027155
random-match-int-100-angular-filters,qdrant,qdrant-on-disk-default,random-match-int-100-angular-filters\qdrant\qdrant-on-disk-default-random-match-int-100-angular-filters-search-0.json,0.999996,0.004983968610004,0.0066440150008929,0.0094378680030422,8,946.5777277379334,10.564372799999546,search,,4.983968610003999,6.6440150008928995
random-match-int-100-angular-filters,qdrant,qdrant-on-disk-default,random-match-int-100-angular-filters\qdrant\qdrant-on-disk-default-random-match-int-100-angular-filters-upload.json,,,,,4,,390.226932900001,upload,200.13863290000157,,
random-match-int-100-angular-no-filters,milvus,milvus-on-disk-default,random-match-int-100-angular-no-filters\milvus\milvus-on-disk-default-random-match-int-100-angular-no-filters-search-0-skipUpload.json,0.5429200000000001,0.0037929100100169,0.0043397449971962,0.0049172749998979,8,1235.1591154819607,8.096122900002229,search,,3.7929100100169,4.3397449971962
random-match-int-100-angular-no-filters,milvus,milvus-on-disk-default,random-match-int-100-angular-no-filters\milvus\milvus-on-disk-default-random-match-int-100-angular-no-filters-search-0.json,0.55955,0.0067717278899806,0.0085473099999944,0.0110867099959432,8,804.724563664692,12.42661209999642,search,,6.7717278899806,8.547309999994399
random-match-int-100-angular-no-filters,milvus,milvus-on-disk-default,random-match-int-100-angular-no-filters\milvus\milvus-on-disk-default-random-match-int-100-angular-no-filters-upload.json,,,,,4,,584.0643851999994,upload,200.44793560000107,,
random-match-int-100-angular-no-filters,qdrant,qdrant-on-disk-default,random-match-int-100-angular-no-filters\qdrant\qdrant-on-disk-default-random-match-int-100-angular-no-filters-search-0-skipUpload.json,0.63372,0.0050663177300135,0.0062706749989956,0.0078144309991694,8,946.2396587360482,10.568147199999656,search,,5.0663177300135,6.2706749989956005
random-match-int-100-angular-no-filters,qdrant,qdrant-on-disk-default,random-match-int-100-angular-no-filters\qdrant\qdrant-on-disk-default-random-match-int-100-angular-no-filters-search-0.json,0.6337200000000001,0.0053581659600098,0.0065365000002202,0.0105777959965417,8,906.4797529590136,11.031685999998444,search,,5.3581659600098,6.5365000002202
random-match-int-100-angular-no-filters,qdrant,qdrant-on-disk-default,random-match-int-100-angular-no-filters\qdrant\qdrant-on-disk-default-random-match-int-100-angular-no-filters-upload.json,,,,,4,,273.9460715000023,upload,193.89657880000232,,
